%OpenBCI Raw EEG Data
%Number of channels = 4
%Sample Rate = 200 Hz
%Board = OpenBCI_GUI$BoardGanglionBLE
Sample Index, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3, Accel Channel 0, Accel Channel 1, Accel Channel 2, Other, Other, Other, Other, Other, Timestamp, Other, Timestamp (Formatted)
17.0, -61.60363207012415, 63.4735820479691, -6.073597528040409, 30.41473638964817, -0.43200002051889896, 0.2240000106394291, 0.33600001595914364, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6466915245679982E9, 0.0, 2022-03-07 14:18:44.567
18.0, -11.818083859980106, 18.10111578553915, 22.60769523214549, 0.5927741429768503, -0.43200002051889896, 0.2240000106394291, 0.33600001595914364, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6466915245787764E9, 0.0, 2022-03-07 14:18:44.578
18.0, -55.5449941419065, 47.702423934824765, 14.10690263286233, 14.523901477921754, -0.43200002051889896, 0.2240000106394291, 0.33600001595914364, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6466915245787764E9, 0.0, 2022-03-07 14:18:44.578
19.0, -78.13772977422923, 73.9602615237236, -6.484986523166299, 35.9236090243794, -0.43200002051889896, 0.2240000106394291, 0.33600001595914364, 0.0, 0.0, 0.0, 0.0, 0.0, 1.646691524593666E9, 0.0, 2022-03-07 14:18:44.593
19.0, -25.962385492399335, 29.552689449861646, 12.4501269524917, 7.994036155287176, -0.43200002051889896, 0.2240000106394291, 0.33600001595914364, 0.0, 0.0, 0.0, 0.0, 0.0, 1.646691524593666E9, 0.0, 2022-03-07 14:18:44.593
20.0, -29.189919154159725, 26.317675988189876, 23.206079225055873, 0.925625239033252, -0.43200002051889896, 0.2240000106394291, 0.2240000106394291, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6466915246098285E9, 0.0, 2022-03-07 14:18:44.609
20.0, -73.52269322890788, 73.91164282429963, -7.180607914924622, 32.243547467980534, -0.43200002051889896, 0.2240000106394291, 0.2240000106394291, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6466915246098285E9, 0.0, 2022-03-07 14:18:44.609
21.0, -40.65271251834929, 47.94551743194461, 0.5684647932648659, 22.602085382211953, -0.43200002051889896, 0.35200001671910286, 0.2240000106394291, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6466915246244235E9, 0.0, 2022-03-07 14:18:44.624
21.0, -13.078430145047605, 14.637968426570296, 24.17097341362387, -6.62897267146036, -0.43200002051889896, 0.35200001671910286, 0.2240000106394291, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6466915246244235E9, 0.0, 2022-03-07 14:18:44.624
22.0, -69.44994217716157, 64.45343583635986, -2.932081565260887, 26.76833393285051, -0.6560000311583281, 0.35200001671910286, 0.2240000106394291, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6466915246251037E9, 0.0, 2022-03-07 14:18:44.625
22.0, -59.311073397286236, 58.34243930876255, -9.050557892769575, 28.514867212157696, -0.6560000311583281, 0.35200001671910286, 0.2240000106394291, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6466915246251037E9, 0.0, 2022-03-07 14:18:44.625
23.0, -10.924247770570219, 16.216206207871437, 23.830642517656088, -3.266802611295134, -0.6560000311583281, 0.35200001671910286, 0.2240000106394291, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6466915246394818E9, 0.0, 2022-03-07 14:18:44.639
